,Name,Age,Team,PA,1B,2B,3B,HR,R,SO,SB,BB,HBP,wOBA,wRAA,BA,SLG,OBP,BAbip,bat-WAR,Reliability
0,A.J. Wright,27.0,Ottawa Titans,420.91139999999996,60,22,1,13,74,93,7,54,13,0.3482129186602871,17.10739730435461,0.27586206896551724,0.45689655172413796,0.3872548949731464,0.33877551020408164,1.710739730435461,1.0
1,Aaron Altherr,33.0,Tri-City Valley Cats,303.24324324324317,44,13,0,16,52,80,6,33,6,0.36563455149501667,15.399703241623127,0.28076923076923077,0.5153846153846153,0.3693404634581106,0.3433734939759036,1.5399703241623128,0.9025
2,Aaron Beck,25.0,Evansville Otters,160.53199999999998,24,7,0,3,21,35,3,14,3,0.2889620253164557,-1.9796449550969215,0.24285714285714285,0.35714285714285715,0.31769366855206443,0.30097087378640774,-0.19796449550969214,0.17000000000000004
3,Abdiel Diaz,29.0,Gateway Grizzlies,300.1095290251917,54,8,0,3,36,50,20,35,2,0.29832542372881354,1.3009323062013305,0.25390625,0.3203125,0.3398759124087591,0.3024390243902439,0.13009323062013306,1.0
4,Abraham Mow,24.0,Sussex County Miners,210.09799999999998,31,7,1,3,24,46,4,20,4,0.2795242718446602,-3.978220946876921,0.23204419889502761,0.3314917127071823,0.31413911603156625,0.2932330827067669,-0.39782209468769214,0.37250000000000005
5,Abraham Sequera,25.0,Washington WildThings,203.66,27,8,1,3,28,45,5,19,3,0.2743618090452261,-4.7407548234937025,0.2215909090909091,0.32954545454545453,0.2995188058528921,0.27906976744186046,-0.47407548234937025,0.35
6,Adan Fernandez,25.0,Capitales de Québec,161.131,22,5,0,3,20,37,5,16,4,0.2708481012658228,-3.8648641383294366,0.21897810218978103,0.32116788321167883,0.3103065207812277,0.2755102040816326,-0.3864864138329437,0.1725
7,Alec Craig,27.0,Schaumburg Boomers,429.92499999999995,64,12,2,4,66,69,34,85,9,0.33275586854460093,16.901583532432696,0.24848484848484848,0.3333333333333333,0.4093737279758098,0.30115830115830117,1.6901583532432696,1.0
8,Alex Hernandez,25.0,Gateway Grizzlies,260.565,29,8,0,3,25,85,1,22,8,0.22572619047619047,-17.382459536794645,0.18099547511312217,0.2579185520361991,0.26864697868094334,0.27611940298507465,-1.7382459536794646,0.8375
9,Alex Toral,25.0,New Jersey Jackals,365.8692,37,14,0,29,67,83,1,66,3,0.42345879120879126,34.60379908906128,0.27491408934707906,0.6219931271477663,0.4072493667135687,0.2786885245901639,3.4603799089061282,1.0
10,Alfredo Marte,35.0,New Jersey Jackals,369.28034371643395,58,22,0,17,60,52,8,29,6,0.36194550408719345,18.373362367311763,0.2930513595166163,0.513595166163142,0.35745200698080276,0.3041825095057034,1.8373362367311763,1.0
11,Andres Rios,27.0,Florence Y'Alls,171.1398,25,6,0,2,20,36,5,16,6,0.267562874251497,-3.4664554012605473,0.23076923076923078,0.3146853146853147,0.32137468899694865,0.2897196261682243,-0.34664554012605475,0.2975
12,Andrew Czech,27.0,Washington WildThings,397.31,51,19,1,16,60,81,2,67,2,0.37800507614213197,21.435677717892,0.27102803738317754,0.48598130841121495,0.392640507412348,0.31140350877192985,2.1435677717891997,1.0
13,Andrew Penner,29.0,Gateway Grizzlies,395.50930996714135,76,16,2,5,64,72,10,37,13,0.32205115089514064,8.099053744696882,0.2911764705882353,0.3941176470588235,0.3767294378288562,0.3560606060606061,0.8099053744696881,1.0
