,Name,Age,Team,IP,G,GS,W,L,S,K,BB,HR,R,ERA,FIP,BB/9,K/9,K/BB,RA9,Reliability
0,Aaron Dona,24.0,New York Boulders,77.056,28,3,6,3,2,85,32,6,33,3.5039451827242525,4.071115033887625,3.737541528239203,9.927844684385382,2.65625,3.8543397009966776,0.6799999999999999
1,Aaron Ernst,25.0,Tri-City Valley Cats,30.0099,16,1,1,1,0,27,16,3,23,6.297921685843672,5.118841854634786,4.7984165225475595,8.097327881799007,1.6875,6.897723751162117,0.20099999999999996
2,Aaron Glickstein,27.0,Schaumburg Boomers,99.88492,29,8,6,4,0,85,23,5,45,3.69425134444719,3.658789969572382,2.0723849005435455,7.658813762878321,3.6956521739130435,4.054666109759111,1.0
3,Aaron Rund,25.0,Florence Y'Alls,31.2079,15,1,1,1,0,30,14,3,19,4.6142162721618565,4.692111274574573,4.037439238141625,8.651655510303481,2.142857142857143,5.479381823192204,0.22099999999999997
4,Abdiel Saldana,28.0,Capitales de Québec,81.479,25,10,6,2,0,68,24,6,27,2.430074006799298,4.191028149506476,2.6509898255992344,7.51113783919783,2.8333333333333335,2.9823635537991384,0.7809999999999999
5,Adrien Reese,25.0,Windy City ThunderBolts,67.088,31,6,1,5,1,61,30,8,52,5.902694967803482,5.092422001757663,4.0245647507751015,8.183281659909373,2.033333333333333,6.9759122346768425,0.52
6,Alec Huertas,24.0,New York Boulders,67.5444,23,8,3,3,1,55,27,9,41,5.06333611668769,5.322051454967685,3.597633556593885,7.328512800469026,2.037037037037037,5.463073178531455,0.522
7,Alec Thomas,26.0,New Jersey Jackals,91.02112,21,10,4,6,0,79,69,13,64,5.833810878178603,6.414253268675142,6.822592382954637,7.811373887730673,1.144927536231884,6.32820163056662,1.0
8,Alec Whaley,26.0,Gateway Grizzlies,68.80224,58,1,1,1,1,63,21,8,32,3.7934811424744312,4.615115565694463,2.7470035859297606,8.241010757789281,3.0,4.185910226178683,0.684
9,Alejandro Arteaga,30.0,Empire State Greys,24.563318777292572,11,2,1,1,0,24,11,2,16,5.129600000000001,4.467026957106525,4.0304,8.793600000000001,2.1818181818181817,5.862400000000001,0.15000000000000002
10,Alex Hart,24.0,Sussex County Miners,69.832,22,8,3,6,0,59,28,10,49,5.284110436476115,5.393932653317114,3.6086607858861273,7.603963798831482,2.107142857142857,6.315156375300722,0.56
11,Alex Mack,26.0,New York Boulders,42.506719999999994,14,7,1,1,0,44,26,3,29,4.446355776216091,4.70144980107619,5.5050119134103985,9.316174007309904,1.6923076923076923,6.140205595726982,1.0
12,Alex McKenney,25.0,Tri-City Valley Cats,24.0199,13,1,1,1,0,22,13,3,20,6.369718441792014,5.434697721949195,4.870961161370364,8.243165042319077,1.6923076923076923,7.4937864021082525,0.10099999999999998
13,Alexis Rivero,29.0,Lake Erie Crushers,26.451259583789703,18,0,1,2,6,23,13,2,14,3.7427329192546583,4.737507012317015,4.423229813664596,7.8257142857142865,1.7692307692307692,4.763478260869566,0.43100000000000005
14,Aljo Sujak,25.0,New York Boulders,24.678800000000003,13,1,1,1,0,23,14,2,16,5.105596706484918,4.910658128080082,5.105596706484918,8.38776601779665,1.6428571428571428,5.834967664554192,0.11199999999999999
15,Andres Rodriguez,25.0,Empire State Greys,89.02338,20,10,0,12,0,65,59,16,92,8.391054125332019,6.883620801764711,5.964725221621555,6.571307447549172,1.1016949152542372,9.300927464223442,1.0
16,Andrew Dietz,25.0,Empire State Greys,31.8668,16,2,1,1,1,28,16,4,24,5.930937527458044,5.399952095774006,4.518809544729939,7.907916703277392,1.75,6.778214317094908,0.23199999999999998
