,Batter,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,SD+
0,Eric Jenkins,0.3043478260869565,0.6790890269151139,0.496288441145281,0.2298136645962732,0.7701863354037267,0.3414634146341463,0.1548250265111346,111.0
1,Quentin Holmes,0.287037037037037,0.6608863198458574,0.491062039957939,0.2,0.8,0.3470031545741325,0.1440588853838065,96.0
2,Josh Sears,0.2530864197530864,0.6009693053311793,0.4230465666929755,0.230379746835443,0.769620253164557,0.3117600631412786,0.1112865035516969,176.0
3,Ethan Skender,0.2738095238095238,0.6133603238866396,0.4418837675350701,0.2741935483870967,0.7258064516129032,0.3727454909819639,0.0691382765531062,130.0
4,Dakota Phillips,0.2570093457943925,0.6813008130081301,0.4645982498011137,0.1785714285714285,0.8214285714285714,0.3118536197295147,0.152744630071599,169.0
5,Kona Quiggle,0.2306525037936267,0.6327433628318584,0.4345549738219895,0.1811224489795918,0.8188775510204082,0.2931937172774869,0.1413612565445026,176.0
6,George Callil,0.2402234636871508,0.6411290322580645,0.4730679156908665,0.1418685121107266,0.8581314878892734,0.338407494145199,0.1346604215456674,75.0
7,Jeffrey Baez,0.3246187363834422,0.7097505668934241,0.5133333333333333,0.2152317880794702,0.7847682119205298,0.3355555555555555,0.1777777777777777,116.0
8,Jomar Reyes,0.3685393258426966,0.7272727272727273,0.5512679162072768,0.2596401028277635,0.7403598971722365,0.4288864388092613,0.1223814773980154,81.0
9,Bryan Rosario,0.217877094972067,0.5959595959595959,0.416445623342175,0.1953125,0.8046875,0.3395225464190981,0.0769230769230769,108.0
10,Craig Massey,0.2069597069597069,0.5435168738898757,0.3778178539224526,0.2493368700265252,0.7506631299734748,0.3399458972046889,0.0378719567177637,174.0
11,Ray Zuberer,0.1404399323181049,0.5570776255707762,0.359775641025641,0.1165311653116531,0.8834688346883469,0.2956730769230769,0.0641025641025641,204.0
12,Brennan Price,0.2246376811594203,0.6451612903225806,0.4287844891871737,0.2322274881516587,0.7677725118483413,0.3146905294556301,0.1140939597315436,199.0
13,Harrison Dinicola,0.2362204724409448,0.6821862348178138,0.4560878243512974,0.2131147540983606,0.7868852459016393,0.3652694610778443,0.090818363273453,136.0
14,Brian Fuentes,0.1997041420118343,0.577807848443843,0.3971731448763251,0.225,0.775,0.3109540636042402,0.0862190812720848,189.0
15,Zade Richardson,0.2309582309582309,0.6611764705882353,0.4507211538461538,0.1505791505791505,0.8494208494208494,0.3112980769230769,0.1394230769230769,104.0
16,Cole Brannen,0.1996557659208261,0.6565008025682183,0.436046511627907,0.1551312649164677,0.8448687350835322,0.3480066445182724,0.0880398671096345,191.0
17,David Vinsky,0.162754303599374,0.6421319796954315,0.4274702172389628,0.1334745762711864,0.8665254237288136,0.3307638402242466,0.0967063770147161,181.0
18,Pat Kivlehan,0.28328173374613,0.7288135593220338,0.5065637065637065,0.2278225806451612,0.7721774193548387,0.383011583011583,0.1235521235521235,166.0
19,Gabriel Garcia,0.2396576319543509,0.6796407185628742,0.4543462381300219,0.2,0.8,0.3433162892622352,0.1110299488677867,218.0
20,Matt Mcdermott,0.2665148063781321,0.7193347193347194,0.5032608695652174,0.1900584795321637,0.8099415204678363,0.3717391304347826,0.1315217391304347,104.0
21,Tucker Nathans,0.2202643171806167,0.655860349127182,0.4558327714093054,0.1900191938579654,0.8099808061420346,0.3513149022252191,0.1045178691840863,190.0
22,Thomas Walraven,0.2363636363636363,0.5760869565217391,0.4154727793696275,0.2296450939457202,0.7703549060542797,0.3431232091690544,0.072349570200573,196.0
23,Chris Kwitzer,0.394524959742351,0.6786885245901639,0.5353371242891958,0.2831325301204819,0.7168674698795181,0.4045491470349309,0.1307879772542648,123.0
24,Joe Deluca,0.2249134948096885,0.7772657450076805,0.5174938974776241,0.1609977324263038,0.8390022675736961,0.3588283157038242,0.1586655817737998,147.0
25,Giovanni Garbella,0.2009345794392523,0.6610486891385767,0.4563409563409563,0.1292517006802721,0.8707482993197279,0.3056133056133056,0.1507276507276507,95.0
26,Jamey Smart,0.2175732217573222,0.5945241199478487,0.4123989218328841,0.2375478927203065,0.7624521072796935,0.3517520215633423,0.0606469002695417,215.0
27,Sicnarf Loopstok,0.3289760348583878,0.6714975845410628,0.4914089347079037,0.2848837209302325,0.7151162790697675,0.3940435280641466,0.0973654066437571,121.0
28,Jason Dicochea,0.2878048780487804,0.7508090614886731,0.5198702351987023,0.1902912621359223,0.8097087378640777,0.4176804541768045,0.1021897810218978,170.0
29,Taylor Wright,0.2438563327032136,0.6882661996497373,0.4745454545454545,0.1995073891625615,0.8004926108374384,0.3690909090909091,0.1054545454545454,139.0
30,Manny Garcia,0.3326086956521739,0.7294589178356713,0.5391032325338895,0.2422062350119904,0.7577937649880095,0.4348279457768509,0.1042752867570385,110.0
31,Aj Wright,0.1618497109826589,0.5997109826589595,0.3807803468208092,0.1530864197530864,0.8469135802469135,0.2926300578034682,0.088150289017341,233.0
32,Jaxon Hallmark,0.2943925233644859,0.6534653465346535,0.46875,0.272108843537415,0.7278911564625851,0.3533653846153846,0.1153846153846153,167.0
33,Cito Culver,0.2202797202797203,0.5925925925925926,0.3946716232961586,0.250996015936255,0.749003984063745,0.3110285006195787,0.0836431226765799,286.0
34,Carson Mccusker,0.3215547703180212,0.7022058823529411,0.5081081081081081,0.2888888888888888,0.7111111111111111,0.4054054054054054,0.1027027027027027,81.0
