,Batter,xwOBA,xBA,xSLG
0,Eric Jenkins,0.3058554232120514,0.2869373559951782,0.42681085504591465
1,Quentin Holmes,0.2773870527744293,0.2690223455429077,0.3752726186066866
2,Josh Sears,0.3971511721611023,0.3318011164665222,0.6086144559085369
3,Ethan Skender,0.32166337966918945,0.31305038928985596,0.4337479416280985
4,Dakota Phillips,0.39587825536727905,0.3324095606803894,0.6043541273102164
5,Kona Quiggle,0.3640691936016083,0.31369197368621826,0.5453592576086521
6,George Callil,0.3100792467594147,0.2839088439941406,0.44232995714992285
7,Jeffrey Baez,0.358332097530365,0.3218468427658081,0.5188568569719791
8,Jomar Reyes,0.33582979440689087,0.32913845777511597,0.44988963566720486
9,Bryan Rosario,0.317165344953537,0.320213258266449,0.4115685848519206
10,Craig Massey,0.3499056398868561,0.3506285548210144,0.4577697739005089
11,Ray Zuberer,0.33904048800468445,0.30418992042541504,0.4921744875609875
12,Brennan Price,0.4236896336078644,0.3355488181114197,0.6741901952773333
13,Harrison Dinicola,0.3076757788658142,0.2984698414802551,0.416103757917881
14,Brian Fuentes,0.3218977749347687,0.2939404845237732,0.45972806215286255
15,Zade Richardson,0.3235628306865692,0.2819638252258301,0.48024028073996305
16,Cole Brannen,0.2641553580760956,0.26194941997528076,0.3496348364278674
17,David Vinsky,0.3127692937850952,0.29036784172058105,0.4408112922683358
18,Pat Kivlehan,0.4260339140892029,0.33569061756134033,0.6792483692988753
19,Gabriel Garcia,0.3504734933376312,0.32410937547683716,0.49542269483208656
20,Matt Mcdermott,0.31376057863235474,0.29429399967193604,0.43778609205037355
21,Tucker Nathans,0.36462080478668213,0.3331345319747925,0.5209510512650013
22,Thomas Walraven,0.34186482429504395,0.30483168363571167,0.4987254524603486
23,Chris Kwitzer,0.35937610268592834,0.33939653635025024,0.49846839252859354
24,Joe Deluca,0.347277969121933,0.29601603746414185,0.5237829629331827
25,Giovanni Garbella,0.2934058606624603,0.26097655296325684,0.42845731787383556
26,Jamey Smart,0.36767593026161194,0.3447209596633911,0.5134593732655048
27,Sicnarf Loopstok,0.4149188697338104,0.37700581550598145,0.5954494550824165
28,Jason Dicochea,0.33596524596214294,0.30241119861602783,0.4857903188094497
29,Taylor Wright,0.3271847367286682,0.2999403476715088,0.4661028105765581
30,Manny Garcia,0.35819166898727417,0.329456090927124,0.5082997316494584
31,Aj Wright,0.34992629289627075,0.29492294788360596,0.5327844545245171
32,Jaxon Hallmark,0.27233096957206726,0.26013296842575073,0.37393351551145315
33,Cito Culver,0.37636134028434753,0.34970730543136597,0.5295006996020675
34,Carson Mccusker,0.4550537168979645,0.37019258737564087,0.71000169031322
35,Trey Hair,0.3868023753166199,0.3166484832763672,0.6002226788550615
36,Zach Biermann,0.3477068245410919,0.313359797000885,0.5021798349916935
37,Pavin Parks,0.3595855236053467,0.3141442537307739,0.5325505565851927
38,Aaron Altherr,0.41120001673698425,0.3484715223312378,0.6234216410666704
39,Jake Boone,0.3011258542537689,0.2944985032081604,0.40390672627836466
40,Bren Spillane,0.38743165135383606,0.2989744544029236,0.6259950138628483
41,Daniel Robinson,0.32471412420272827,0.32805967330932617,0.4212254239246249
42,Micah Yonamine,0.36936837434768677,0.33802998065948486,0.5265393452718854
43,Peyton Isaacson,0.34486448764801025,0.32858484983444214,0.4740540124475956
44,Matt Morgan,0.36307623982429504,0.32495373487472534,0.5269900690764189
45,Carson Matthews,0.3161884546279907,0.302273690700531,0.43328713346272707
46,Junior Martina,0.34673479199409485,0.32516568899154663,0.484122390858829
47,Nate Scantlin,0.3395461440086365,0.3277605175971985,0.4612252088263631
