,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Location+
0,Kenny Mathews,120.53964724891124,,,,,110.71690663738912,118.64577402037983,116.39622783061996
1,Kobe Foster,117.49841883190774,112.20453206473118,,,,120.52400454632055,115.11893545298626,114.72404357058767
2,Chris Burica,102.1753482636871,,,126.37823092000022,,,114.0186844028673,113.47465702435309
3,Ruben Ramirez,114.25369963131733,,,,,111.78238892815249,116.66590208830121,113.13891064319903
4,Grant Larson,,110.53641483923488,118.33766791437965,,,112.65235443174575,,112.13669191253908
5,Harley Gollert,112.58993515302357,,,,,125.16051661909118,105.68432838144615,111.39953688237757
6,Aaron Glickstein,107.650052882892,,,128.91673164907783,,,115.46582726706065,111.2886774024215
7,Tyler Jay,112.84594938344324,114.06442128836396,,,,,108.85995580049206,111.18025495311883
8,Abdiel Saldana,111.63883140982523,,,,,,114.70734844869087,111.02795837330905
9,Kristian Scott,,,116.66229454992984,,,,104.5702404168476,110.96131038048729
10,Darrien Ragins,,,,107.5351557829866,,,109.61541518978552,110.21647535711577
11,Zach Schneider,108.65451475856376,,124.18628712613436,,,,98.64558822082373,110.18691561163396
12,John Baker,110.2559877869155,97.45413488647556,,,,110.31045268946498,120.40776368514503,109.75992719039883
13,Cole Cook,108.63719360239077,118.01685684347814,,116.2609156087175,,93.23663399627006,105.33889084630952,109.6474647067573
14,Alex Hart,108.12081826028444,,,,,,115.3346617030663,109.57436266738812
15,Tucker Smith,111.20763985895003,,,104.46125517695803,,104.54268809520393,119.26275565016249,109.4999404184069
16,Cam Aufderheide,107.844705912363,110.31958035319671,,119.55880223946671,,111.75877690233958,,109.48090838444833
17,Tim Holdgrafer,104.12466537701886,,,,,90.59426211235122,119.85911721991557,109.13498367444177
18,Ray Weber,107.69100050907763,,,,,105.98028780273961,122.79820370337693,108.67086292620974
19,Shumpei Yoshikawa,108.5852882931722,,,115.12458591527732,,120.20338790927612,,108.59195185258783
20,Zac Westcott,,100.39357460740193,108.38692988981407,,,128.80859911741774,,108.53377147758863
21,Hayden Shenefield,115.96609943522675,,,,,102.252457161574,104.6797663231516,108.45345376385835
22,Garrett Christman,109.29540017274459,116.70287620466355,,,,117.87446580456593,,108.24532399649733
23,Ricky Castro,120.50654837548527,,98.05200854150459,,,74.1182140053003,111.73109839634753,108.22123554346415
24,July Sosa,109.82375806803053,,,,,,110.53034941564141,108.12053598568869
25,Stephen Knapp,115.78767608175566,,,,,120.36469638893065,87.63214240713157,107.79482133657967
26,Stephen Chamblee,113.93388964019768,,,,,118.82791603347971,94.6607490123718,107.74100487833852
27,Justin Showalter,,,113.70326161292058,104.03752012250796,,110.06381664456451,,107.31665543793767
28,Turner Larkins,107.36241599611182,,,,,101.69044303063902,117.70259216178138,107.31470390695756
29,Jonaiker Villalobos,107.34882294612204,,,,,122.98968400878078,112.45240143400544,107.27134295289625
30,Nick Macdonald,107.32210902272766,,,114.1447661811932,,,116.88759545562392,107.24197550227214
31,Ryan Watson,106.11443892422061,,102.21717149007314,128.96763112835293,,,116.10536765622889,107.21561783704632
32,Josh Lucas,92.08091862174625,,,122.92129186219891,,,118.23363372711077,107.1472769559404
33,Ryan Munoz,,103.82972159165251,111.30426061261518,,,,,106.98213890833581
34,Nick Garcia,105.80778038176759,,,,,120.34608270919958,113.48801276126107,106.61753762380017
35,Alec Huertas,110.67020168404045,,,,,108.0541669571817,106.44081535270684,106.44999345558605
36,Luis Perez,106.6481141857427,,,,,119.46825268220678,106.16009039101975,106.31565513909035
37,Jimmy Boyce,106.5968514273538,,,,,117.672503845281,108.24711333140198,106.29663430753766
38,Collin Sullivan,105.7034333342667,,,116.84547823659415,,95.25622348249055,,106.24429471813319
39,Kobey Schlotman,107.82243857920115,,,118.14752987857187,,,102.08150516601253,106.20611736610495
40,Kyle Mott,107.46738759483789,,106.41793481924992,,,,110.48803492074133,106.03831029123181
41,Carter Spivey,108.29051125115386,,96.98464414496397,118.26434099564761,,,119.45680591721192,106.03646808863485
42,Zac Ryan,106.19479621802115,,,,,101.4637142478364,111.98442511937475,105.75519162208306
43,Ryan Sandberg,111.73224998395162,,,,,91.1381192592166,103.04711989546198,105.71921462942406
44,Arrison Perez,106.04921504765417,,,,,,110.15706038588849,105.64854877551686
45,Justin Miller,107.28799895721708,,,,,,106.39636576006122,105.38944915564394
46,Thomas Bruss,107.95298745236725,,,,,,108.59345773780686,105.33671425103147
47,Kevin Davis,112.37960170471884,,,,,,86.54996724043352,105.26903679576922
48,Carson Larue,104.37969972706568,115.67511218873499,68.63382556841088,,,,110.22389957566841,105.16594636314858
