,Pitcher,o-xwOBA,o-xBA,o-xSLG
0,Thomas Bruss,0.2852770686149597,0.2771069407463074,0.3849554406479001
1,Jesen Therrien,0.38694894313812256,0.3627590537071228,0.5399028044193983
2,Christian Lopez,0.296256959438324,0.27711522579193115,0.41464459896087646
3,Garrett Christman,0.3339707851409912,0.31410425901412964,0.4648987241089344
4,Damon Casetta-stubbs,0.33104804158210754,0.3161711096763611,0.4539424395188689
5,July Sosa,0.34087035059928894,0.30032670497894287,0.502025905996561
6,Matt Mulhearn,0.32722464203834534,0.2945420742034912,0.47342775017023087
7,John Baker,0.358487993478775,0.312355101108551,0.5322549343109131
8,Stephen Chamblee,0.34550344944000244,0.2980102300643921,0.5172318145632744
9,Kyle Seebach,0.3632785975933075,0.3335462808609009,0.5165932420641184
10,Chandler Brierley,0.35312965512275696,0.331559956073761,0.4924421962350607
11,Ryder Yakel,0.31821209192276,0.2929166555404663,0.45160192623734474
12,Tyler Thornton,0.3463185131549835,0.31538569927215576,0.49617365188896656
13,Parker Brahms,0.27952906489372253,0.2611618638038635,0.3918872596696019
14,Dylan Castaneda,0.3422170579433441,0.3155052065849304,0.4847352812066674
15,Franklin Parra,0.2592919170856476,0.2269154191017151,0.38364124950021505
16,Nick Garcia,0.33357512950897217,0.30845242738723755,0.47143912967294455
17,Nate Garkow,0.3064851462841034,0.29518747329711914,0.4175839498639107
18,Dan Bebee,0.3729439377784729,0.34048449993133545,0.5332620786502957
19,Frank Moscatiello,0.2631171941757202,0.23454564809799194,0.38419531285762787
20,Justin Miller,0.32329627871513367,0.30183541774749756,0.4529296178370714
21,Jake Joyce,0.32100844383239746,0.30453360080718994,0.44369509909301996
22,Andres Rodriguez,0.3861236572265625,0.3366520404815674,0.5726243769749999
23,Jd Hammer,0.3402726650238037,0.2980497479438782,0.5032791532576084
24,Ryan Sandberg,0.33875563740730286,0.320492148399353,0.46895789355039597
25,Carter Spivey,0.3126412332057953,0.3122035264968872,0.4105322668328881
26,Osman Gutierrez,0.2982173264026642,0.2774200439453125,0.41935235634446144
27,Justin Watland,0.33353543281555176,0.28226524591445923,0.5061839297413826
28,Miguel Reyes,0.2951714098453522,0.27132171392440796,0.41987375169992447
29,Tanner Jesson-dalton,0.32975417375564575,0.32310473918914795,0.4413310419768095
30,Abdiel Saldana,0.3173755407333374,0.30963701009750366,0.42644038423895836
