,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Pitching+
0,Kenny Mathews,120.04367108927092,,,,,111.66743525383029,123.74879141973936,117.043219712131
1,Kobe Foster,118.90932567539411,113.15312248224652,,,,117.87682726083497,114.49840153906794,114.3404620581506
2,Ruben Ramirez,113.61827555649144,,,,,111.14194109660251,124.24990151787215,114.0711863223274
3,Chris Burica,101.21717683324798,,,126.43725901766523,,,118.83835793939528,113.5611304774687
4,Tyler Jay,115.64984739439979,114.53027090570377,,,,,107.54168423994781,111.20854347208922
5,Abdiel Saldana,111.10680773412594,,,,,,119.88733169600462,111.18622042725916
6,Harley Gollert,108.80632771269536,,,,,126.72548873995393,100.15036372192124,110.87049523526231
7,Cam Aufderheide,109.56700499331245,114.16255908031178,,121.95317430459545,,112.08719875049414,,110.65984107703643
8,Ricky Castro,120.33677645499863,,99.98158467257133,,,82.30962602080056,118.88983297936187,110.29023511668325
9,Grant Larson,,113.65654779315429,111.77353364510645,,,114.03657471466644,,109.97281275452796
10,Ray Weber,110.5298650763999,,,,,106.66745078087965,123.28124106703322,109.9266402998602
11,Tim Holdgrafer,106.17507724361941,,,,,91.25068293518854,123.40132825875617,109.89173139059825
12,Shumpei Yoshikawa,112.93953115700937,,,110.67517682756814,,116.43486733206703,,109.83776792813684
13,Zac Westcott,,100.41472427051552,107.35083622051226,,,131.59238149487453,,109.75152058193916
14,Kevin Davis,119.03024198602728,,,,,,83.85336190089406,109.47663007283255
15,Stephen Knapp,118.38595019211971,,,,,116.48457477947984,90.05291848558787,109.25117782155162
16,Tucker Smith,110.62123685030136,,,104.01565487748192,,104.37131249743628,121.94269434462232,109.05667923224902
17,Stephen Chamblee,113.29065048548324,,,,,119.8562567221225,96.33791179408907,108.74450717371857
18,Aaron Glickstein,105.8206534038435,,,127.0371376132196,,,117.1554471701953,108.57446631262735
19,Justin Showalter,,,115.2817282447671,104.26892473622256,,108.36272025893712,,108.27875652289205
20,Nate Florence,114.88769269401335,,,,,,88.8752572528989,108.23672915914253
21,Collin Sullivan,110.11999865761595,,,115.88418929476857,,92.12995598883263,,108.1006564370097
22,Hayden Shenefield,116.07284566961751,,,,,98.80549849614546,106.57420126297494,107.95520298321837
