,Pitcher,Strike%,Zone%,Whiff%
0,Thomas Bruss,0.4669051878354204,0.552772808586762,0.10912343470483005
1,Brac Warren,0.5026511134676565,0.5503711558854719,0.13467656415694593
2,Jhon Vargas,0.48330241187384043,0.47588126159554733,0.1345083487940631
3,Kevin Davis,0.5306513409961686,0.5919540229885057,0.13793103448275862
4,Jon Beymer,0.4500941619585687,0.4613935969868173,0.11864406779661017
5,Nick Trabacchi,0.44798890429958393,0.5533980582524272,0.08599167822468794
6,Dwayne Marshall,0.4218289085545723,0.5349065880039331,0.08947885939036382
7,Frank Moscatiello,0.539651837524178,0.5222437137330754,0.22437137330754353
8,Trevor Kuncl,0.4607594936708861,0.48860759493670886,0.1341772151898734
9,Ruben Ramirez,0.49734513274336284,0.5752212389380531,0.13982300884955753
10,Carson Larue,0.46274777853725224,0.5290498974709501,0.11961722488038277
11,Tim Holdgrafer,0.48487544483985767,0.5400355871886121,0.12633451957295375
12,Garrett Cooper,0.444022770398482,0.5047438330170778,0.11385199240986717
13,Austin Grossman,0.3925373134328358,0.48059701492537316,0.09253731343283582
14,Mark Moclair,0.4404494382022472,0.450187265917603,0.10636704119850188
15,Trevor Tietz,0.4852173913043478,0.5356521739130434,0.14782608695652175
16,Tyler Jay,0.4876140808344198,0.5958279009126467,0.1303780964797914
17,Justin Miller,0.44788273615635177,0.5423452768729642,0.10260586319218241
18,Zac Ryan,0.4723076923076923,0.5476923076923077,0.11538461538461539
19,Braeden Allemann,0.4359430604982206,0.501779359430605,0.09430604982206406
20,Greg Veliz,0.48080133555926546,0.4958263772954925,0.11853088480801335
21,Zach Smith,0.42061700526711815,0.4070729872084274,0.09330323551542513
22,Adrien Reese,0.44662921348314605,0.523876404494382,0.09410112359550561
23,Ricky Castro,0.48186528497409326,0.5440414507772021,0.13678756476683937
24,Evan Braband,0.45565749235474007,0.5076452599388379,0.10397553516819572
25,Edgar Martinez,0.41044282881692,0.43357567746199605,0.11962987442167879
26,Stephen Chamblee,0.46397694524495675,0.5408261287223823,0.09606147934678194
27,Ryan Watson,0.42998027613412226,0.5463510848126233,0.08086785009861933
28,Tanner Jesson-dalton,0.44020797227036396,0.48873483535528595,0.12998266897746968
29,Andy Hammond,0.44394213381555153,0.5325497287522604,0.10397830018083183
30,Nate Florence,0.5054602184087363,0.5709828393135725,0.11856474258970359
31,Dan Bebee,0.4720616570327553,0.5279383429672447,0.11753371868978806
32,Alec Thomas,0.3961136023916293,0.5142002989536621,0.07025411061285501
33,Gage Feeney,0.4014732965009208,0.46593001841620624,0.0847145488029466
34,July Sosa,0.46833930704898447,0.5830346475507766,0.0979689366786141
35,Arrison Perez,0.41363636363636364,0.5196969696969697,0.05909090909090909
36,Luis Perez,0.458486407053637,0.5363703159441587,0.13005143277002204
37,Ryan Sandberg,0.4671610169491525,0.5529661016949152,0.1228813559322034
38,Joey Gonzalez,0.45058742225293713,0.4568071872840359,0.10988251554941257
39,Lukas Veinbergs,0.433264887063655,0.5133470225872689,0.09582477754962354
40,Miguel Reyes,0.410828025477707,0.4984076433121019,0.11624203821656051
41,Zac Westcott,0.4625158831003812,0.5686149936467598,0.08576874205844981
42,Chandler Brierley,0.4622905027932961,0.5349162011173184,0.12290502793296089
43,Henry Omana,0.4897579143389199,0.48789571694599626,0.16759776536312848
44,Jd Hammer,0.46755407653910147,0.5124792013311148,0.1264559068219634
45,Jack Dellinger,0.39518072289156625,0.41204819277108434,0.09397590361445783
46,Andrew Dietz,0.3970802919708029,0.4554744525547445,0.08321167883211679
47,Dylan Castaneda,0.4031413612565445,0.4851657940663176,0.12216404886561955
48,Carter Spivey,0.4476744186046512,0.5387596899224806,0.1298449612403101
49,Jonaiker Villalobos,0.45373891001267425,0.5386565272496832,0.09632446134347275
50,John Baker,0.48166877370417194,0.5790139064475348,0.1264222503160556
51,Jake Joyce,0.4434931506849315,0.5051369863013698,0.1095890410958904
52,Jack Mcmahill,0.4618357487922705,0.5227053140096618,0.09951690821256039
53,Yasel Santana,0.4265605875152999,0.51468788249694,0.11260709914320685
54,Franklin Parra,0.46858168761220825,0.4955116696588869,0.1400359066427289
55,Aaron Dana,0.4911080711354309,0.5512995896032832,0.1600547195622435
56,Nick Macdonald,0.4426229508196721,0.546448087431694,0.0965391621129326
57,Collin Sullivan,0.5271176112126752,0.5581962218159658,0.15783059110298597
58,Angelo Baez,0.44329132690882134,0.4899925871015567,0.1111934766493699
59,Tucker Smith,0.45061283345349673,0.589041095890411,0.10021629416005767
60,Shumpei Yoshikawa,0.4352720450281426,0.5684803001876173,0.08067542213883677
61,Damon Casetta-stubbs,0.46153846153846156,0.4856348470806302,0.14735866543095458
62,Justin Showalter,0.421152030217186,0.5731822474032106,0.07554296506137866
