,Pitcher,FB+,CB+,SI+,CUT+,SPL+,CH+,SL+,Stuff+
0,Thomas Bruss,190.38156066216231,,,,,,90.69914776094649,132.9724818397119
1,Brac Warren,157.26557468420643,,,,,,109.09006798766512,129.84276966451333
2,Jhon Vargas,86.79161002803909,,,,,,124.31308429564866,127.59967891933806
3,Kevin Davis,151.8838837870259,,,,,,100.41737667995956,124.68498206280168
4,Jon Beymer,,,121.08060092950647,,,,114.54693139848038,121.21098761246753
5,Nick Trabacchi,131.0273462441274,,,,,,116.0710692267471,121.10874358471568
6,Dwayne Marshall,118.54903539999124,122.72628661984493,,102.2532872203657,,,,117.68576700170715
7,Frank Moscatiello,134.80526788444715,,,,,,104.70677794250547,116.89414137612786
8,Trevor Kuncl,142.83836429292128,,,,,,104.66382858309815,115.45302083601112
9,Ruben Ramirez,108.48952645502091,,,,,114.35950634272538,113.95418404177366,112.82951555913996
10,Carson Larue,106.7509654980483,127.27919628545017,102.47845291094842,,,,105.35105430147398,112.48861644754157
11,Tim Holdgrafer,104.10897997990729,,,,,102.3042000437204,112.60194849995403,112.14043794647093
12,Garrett Cooper,93.63527987184894,116.10664979780871,,,,132.78637363809966,,109.04103158936671
13,Austin Grossman,,,95.06796682407634,,,98.20108073708246,113.09477364030454,108.8074981308891
14,Mark Moclair,115.30056746810348,96.74731383147984,,,,133.1768906609228,,108.51976109118226
15,Trevor Tietz,115.94609256770623,,,,,102.50895750791389,107.21576845998106,108.38845167995221
16,Tyler Jay,109.36174103022563,120.35882389491587,,,,,105.62588930483881,108.13475437201687
17,Justin Miller,118.10103243587153,,,,,,103.50641233952985,108.01873438777778
18,Zac Ryan,132.17254476739242,,,,,110.28208545635351,97.93482258981345,107.56937728229914
19,Braeden Allemann,108.05263315513433,112.76296359415082,,,,,,107.19152600782269
20,Greg Veliz,123.70378269613754,,,,,,99.75468020669395,107.14070838958617
21,Zach Smith,101.42624845369366,,,,,112.61691515881684,110.18561501761535,107.12135901022206
22,Adrien Reese,89.78536716398077,116.28970240992483,,,,,,106.37235788454736
23,Ricky Castro,96.08429695402741,,94.5529176609997,,,126.77907844964108,109.85995378538642,106.08206126608334
24,Evan Braband,92.69980056535799,129.0430866172203,,91.07468759660729,,,,105.88230130072776
25,Edgar Martinez,106.48613825770343,108.18472912302678,,,,117.45288358806955,,105.501126537826
26,Stephen Chamblee,85.21905271280949,,,,,121.52511512106207,119.02193992660986,105.37354945155558
27,Ryan Watson,135.2281232017245,,126.10919872035606,90.54465805593952,,,98.95298976994702,105.37089205328658
28,Tanner Jesson-dalton,106.66067860540458,,,,,,100.93121290124331,105.17639609835925
29,Andy Hammond,92.64987085405724,122.14411109186211,,,,101.17757375186818,104.83562107962787,105.12062670421767
30,Nate Florence,114.48833021899416,,,,,,97.08316286634393,105.10514410326672
31,Dan Bebee,104.23239529154031,,,101.85684930804715,,,115.32018769245245,105.05789691314094
32,Alec Thomas,102.8250527195868,128.5507220991004,,92.60042809648509,,,,104.80383930481469
33,Gage Feeney,,,101.31063743739399,,,,108.77078286634587,104.7876579297301
