,Umpire,Total Pitch Accuracy,Called Ball Accuracy,Called Strike Accuracy,Num. Pitches Called
41,Ty Unthank,90.17632241813602,83.01886792452831,91.66666666666667,397
42,Drew Ashcraft,89.59537572254335,86.66666666666667,89.0909090909091,173
47,Scott Costello,89.16666666666667,73.07692307692308,92.5925925925926,120
54,Michael Mcgloon,89.0728476821192,66.66666666666667,96.33507853403141,302
21,Mike Williams,88.98776418242491,72.48908296943232,93.6952714535902,899
46,Ronnie Whiting,88.95705521472392,90.9090909090909,85.55555555555556,163
29,Ron Whiting,88.75192604006163,72.7891156462585,92.3076923076923,649
64,Joe Cruz,88.4861407249467,73.77049180327869,92.4914675767918,469
26,Reid Hoover,88.46853401236814,73.51274787535411,92.46813441483198,2749
43,Dominick Longbucco,88.4393063583815,75.86206896551724,93.6842105263158,173
76,Lou Kammermeier,88.35978835978835,71.7948717948718,91.40625,189
53,Steve Lombardo,88.1118881118881,80.43478260869566,90.0,143
18,Robert Reitz,87.96992481203007,68.42105263157895,94.9367088607595,133
59,Trevor Klostermann,87.93103448275862,72.22222222222223,93.93939393939394,116
51,Joseph Kimbrew,87.8048780487805,79.16666666666666,89.58333333333333,164
67,Mario Seneca,87.68115942028986,71.42857142857143,93.67088607594937,138
3,Drew Taylor,87.55221386800335,67.43421052631578,93.27956989247312,2394
49,Chad Ozee,87.47913188647746,74.28571428571429,91.40401146131805,599
1,Elijah Bester,87.47779751332149,71.74721189591078,90.92178770949721,1126
15,Dave Speranza,87.20496894409938,76.6497461928934,88.7128712871287,805
69,Michael Outten,87.20379146919431,66.0,92.53731343283582,422
40,Larry Hutson,87.16577540106951,62.5,93.35180055401662,561
77,Nate Caldwel,87.15083798882682,69.38775510204081,92.5233644859813,179
62,Christopher Viverito,87.11656441717791,65.21739130434783,94.79166666666667,163
50,Ben Levin,86.95652173913044,71.9298245614035,92.23300970873787,184
36,Clark Morgan,86.94877505567929,71.66666666666667,90.90236686390533,2245
10,Mike Fichter,86.94798822374878,72.69503546099291,90.72847682119206,1019
16,Matt Criss,86.80297397769516,77.20588235294117,87.91540785498489,538
34,Kevin Wirth,86.72566371681415,76.36363636363636,87.94326241134752,226
