,Pitcher,Most Used Pitch,First Pitch,K Pitch,Needs a Strike Pitch
0,Thomas Bruss,Fastball,Fastball,Fastball,Fastball
1,Jesen Therrien,Fastball,Fastball,Slider,Fastball
2,Christian Lopez,Cutter,Cutter,Fastball,Fastball
3,Garrett Christman,Fastball,Fastball,Fastball,Fastball
4,Damon Casetta-stubbs,Fastball,Fastball,Slider,Fastball
5,July Sosa,Fastball,Fastball,Fastball,Fastball
6,Matt Mulhearn,Fastball,Fastball,Fastball,Fastball
7,John Baker,Fastball,Fastball,Fastball,Fastball
8,Stephen Chamblee,Fastball,Fastball,Fastball,Fastball
9,Kyle Seebach,Fastball,Fastball,Fastball,Fastball
10,Chandler Brierley,Sinker,Sinker,Sinker,Sinker
11,Ryder Yakel,Fastball,Fastball,Fastball,Fastball
12,Tyler Thornton,Fastball,Fastball,Splitter,Fastball
13,Parker Brahms,Fastball,Fastball,Fastball,Fastball
14,Dylan Castaneda,Fastball,Fastball,Fastball,Fastball
15,Franklin Parra,Fastball,Fastball,Fastball,Fastball
16,Nick Garcia,Fastball,Fastball,Fastball,Fastball
17,Nate Garkow,Fastball,Fastball,Fastball,Fastball
18,Dan Bebee,Fastball,Fastball,Fastball,Fastball
19,Frank Moscatiello,Fastball,Fastball,Fastball,Fastball
20,Justin Miller,Fastball,Fastball,Fastball,Fastball
21,Jake Joyce,Fastball,Fastball,Fastball,Fastball
22,Andres Rodriguez,Fastball,Fastball,Fastball,Fastball
23,Jd Hammer,Fastball,Fastball,Fastball,Fastball
24,Ryan Sandberg,Fastball,Fastball,Fastball,Fastball
25,Carter Spivey,Fastball,Fastball,Fastball,Fastball
26,Osman Gutierrez,Sinker,Sinker,Cutter,Sinker
27,Justin Watland,Fastball,Fastball,Slider,Fastball
28,Miguel Reyes,Fastball,Fastball,Slider,Fastball
29,Tanner Jesson-dalton,Fastball,Fastball,Fastball,Fastball
30,Abdiel Saldana,Fastball,Fastball,Fastball,Fastball
31,Turner Larkins,Fastball,Fastball,Fastball,Fastball
32,Nathan Holt,Fastball,Fastball,Fastball,Fastball
33,Jacob Kush,Fastball,Fastball,Fastball,Fastball
34,Trevor Kuncl,Fastball,Fastball,Fastball,Fastball
35,Collin Sullivan,Fastball,Fastball,Fastball,Fastball
36,Nick Macdonald,Fastball,Fastball,Fastball,Fastball
37,Henry Omana,Fastball,Fastball,Fastball,Fastball
38,Logan Schmidt,Fastball,Fastball,Fastball,Fastball
39,Lukas Veinbergs,Fastball,Fastball,Fastball,Fastball
40,Carter Poiry,Fastball,Fastball,Fastball,Fastball
41,Shumpei Yoshikawa,Fastball,Fastball,Fastball,Fastball
42,Cole Bellair,Fastball,Fastball,Fastball,Fastball
43,Brayden Bonner,Sinker,Sinker,Slider,Sinker
44,Steven Fuentes,Fastball,Fastball,Fastball,Fastball
